,title,alias
3256,Монстробойня,Monster-Slaughter
14960,Ла-Гранха,la-granja
14142,Бразилия,brazil-imperial
497,Хеллбой,hellboy-the-board-game
5189,Ганнибал. Рим против Карфагена,hannibal-rome-vs-carthage
1490,Forbidden Stars: Forgotten Worlds,forbidden-stars-forgotten-worlds
18341,Комната 25. Расширенное издание,room-25-ultimate
4766,Rex: Final Days of an Empire,Rex
11884,Погоня за «Авророй»,last-aurora
3853,Badlands: Outpost of Humanity,Badlands
5856,Покорение Марса. Экспедиция «Арес»,terraforming-mars-ares-expedition
7299,Red7,Red7
14630,Нусфьорд,nusfjord
9995,Карты Конфликта,cardsofconflict
7709,Рококо,rokoko
13837,Запретный остров,forbidden-island
5173,Терминатор: Да придет спаситель,terminator-da-pridet-spasitel
14280,Дальние рубежи,red-outpost
3862,Чужие земли,foreignlands
4125,Нейрошима-6,NeuroshimaHex-3-0
14817,Mombasa,Mombasa
12023,HEXplore It: The Domain of Mirza Noctis,hexplore-it-the-domain-of-mirza-noctis
4112,Fireteam Zero,Fireteam-Zero
12568,В поисках Эльдорадо,quest-el-dorado
15839,Новолуние,nova-luna
3328,Этнос,Ethnos
13300,Зомбицид. Штурм тюрьмы,Zombicide-Season-Two-Prison-Outbreak
7140,Королевские Товары,royal-goods
4061,Киклады. Титаны,cyclades-titans
3437,Mechs vs. Minions,mvm
13063,Conan,conan
7345,Верхом на метле,Broom-Service
11875,Пандемия. Наследие: Нулевой сезон,Pandemic-Legacy-Season-0
8792,Ascension: Chronicle of the Godslayer,ascension
2995,Игра Престолов: Мать драконов,mother-of-dragons
7269,Раптор,Raptor
9394,Картографы,Cartographers-A-Roll-Player-Tale
14822,Viticulture Essential edition,Viticulture-Essential-Edition
13107,Древний ужас: Забытые тайны,Eldritch-Horror-Forsaken-Lore
7542,Warhammer 40 000: Conquest,Warhammer-40000-LCG
5842,Алое восстание,red-rising
16920,Цивилизация Сида Мейера: Новый рассвет - Терра инкогнита,TerraIncognita
15189,Suburbia + Inc.,suburbia
7534,Наместник,Viceroy
4636,Сёгун. Битвы самураев,Samurai-Battles
13743,Космические дальнобойщики,galaxy-trucker
7573,Коза Ностра,la-cosa-nostra
4438,Адмирал (игровая система),admiral-igrovaya-sistema
14210,Прага: Сердце империи,praga-caput-regni
8818,Warhammer: Invasion LCG,warhammer-invasion-the-card-game
7715,Агенты,The-Agents
332,Повелитель Токио: Темное Издание,king-of-tokyo-dark-edition
5232,Magic: The Gathering,magic-the-gathering
3294,Hannibal & Hamilcar,hannibal-and-hamilcar
17472,Lords of Xidit,lords-of-xidit
14143,Anno 1800,anno-1800
10144,Имаджинариум,imaginarium
15217,Nations,Nations
17740,Наследие. Завещание герцога де Креси,Legacy-The-Testament-of-Duke-de-Crecy
6901,Цитадели Делюкс,Citadels-2016
3549,Ярость эльфов,elvenrage
2661,HEL: The Last Saga,hel-the-last-saga
12387,Место преступления,Chronicles-of-Crime
12806,Селестия,celestia
15525,Taluva,taluva
15564,Энергосеть,power-grid
7886,Очередь,Kolejka
14304,Подводные города: Новые открытия,underwater-cities-new-discoveries
14728,Лоскутное королевство,kingdomino
14638,Бронза,bronze
8711,Blood Bowl: Team Manager - The Card Game,Blood-Bowl-Team-Manager
12724,Dark Souls: The Board Game,dark-souls-the-board-game
9411,Забытые боги,nastolnaya-igra-zabytye-bogi
1313,Undaunted: Stalingrad,undaunted-stalingrad
14961,Шериф Ноттингема,Sheriff-Nottingham
12065,Отголоски,Aftermath
12072,Одержимость,Deranged
13325,Зона сталкеров,zona-stalkerov
2512,Предназначение,destinies
12861,Древний ужас. Под пирамидами,Eldritch-Horror-Under-the-Pyramids
1088,1984. Джордж Оруэлл,1984-ast
8449,Подземелье: Царство Ледяной ведьмы,podzemelye-tsarstvo-ledyanoy-vedmy
12953,Выше и ниже,Above-and-Below
12347,Нарко,narcos-the-board-game
3917,Генералы: Вторая мировая,Quartermaster
3120,Серп. Восхождение Фенриса,scythe-the-rise-of-fenris
12297,Седьмое поколение,gen7-a-crossroads-game
2380,Обет. Хроники завоеваний и изгнаний,oath-chronicles-of-empire-and-exile
3439,Deep Madness,deep-madness
590,Грани судьбы,dice-forge
696,Звездные империи. Подарочное издание,star-realms-deluxe-edition
3459,Urland,Urland
16484,Иниш. Сезоны,inis-seasons-of-inis
10538,Неизвестная планета,planet-unknown
8799,Age of Conan,age-of-conan
10731,Бумажные кварталы,Welcome-To
14446,Машина погоды,weather-machine
3606,Cry Havoc,Cry-Havoc
1540,Lords of Ragnarok,lords-of-ragnarok
13767,Betrayal at House on the Hill,Betrayal-at-House-on-the-Hill
11365,Улей,hive
14830,Food Chain Magnate,food-chain-magnate
13689,A Touch of Evil: The Supernatural Game,touch-of-evil-the-supernatural-game
4900,Dune (1979),Dune
8261,Расхитители подземелий,Dungeon-Raiders
6398,KeyForge: Call of the Archons,keyforge-call-of-the-archons
12299,Дорога приключений,Call-to-Adventure
7333,Ashes Reborn,ashes-rise-of-the-phoenixborn
13858,Пандемия: на грани,pandemic-on-the-brink
3008,Бегущие,runners
13294,Lewis and Clark: The Expedition,Lewis-and-Clark-The-Expedition
7625,CV,cv
16851,Myrmes,myrmes
4251,Настолье,nastolie
5098,Reds! The Russian Civil War 1918-1921,reds-the-russian-civil-war-19181921
12853,Бастион,Bastion
11936,Забытые моря,forgotten-waters
14954,Deus,deus
2371,Chronicles of Drunagor: Age of Darkness,chronicles-of-drunagor-age-of-darkness
2574,Oathsworn: Into the Deepwood,oathsworn-into-the-deepwood
17386,Галерист,gallerist
5187,StarCraft: The Board Game - Brood War Expansion,StarCraft-Brood-War
13475,Friday,Friday
4272,Heroes of Normandie,Heroes-of-Normandie
8192,Эпичные схватки боевых магов: Битва на горе Черепламени,Epic-Spell-Wars-of-the-Battle-Wizard-Duel-at-Mt-Skullzfyre
15117,Munivers de Paris,Munivers-de-Paris
2187,Marvel United,marvelunited
13307,Пандемия. В лаборатории,Pandemic-In-the-Lab
15309,Счастливая ферма,My-Happy-Farm
4529,Clash of Cultures,Clash-of-Cultures
